customer_id,first_name,last_name,email,city,country,user,code
cust-00001,Noah,Davis,ndavis@ideapad.com,Sydney,Australia,data1,9333
cust-00002,Emma,Smith,esmith@ryzen.com,Mumbai,India,data2,8960
cust-00003,John,Williams,jwilliams@ryzen.com,Melbourne,Australia,info1,2798
cust-00004,Emma,Williams,ewilliams@ideapad.com,Brisbane,Australia,data1,8711
cust-00005,Sophia,Brown,sbrown@ideapad.com,Manchester,England,info1,6517
cust-00006,James,Miller,jmiller@radon.com,Sydney,Australia,info1,8421
cust-00007,Ava,Martinez,amartinez@ideapad.com,New York,USA,data2,3084
cust-00008,Michael,Brown,mbrown@radon.com,London,England,data2,7817
cust-00009,Ava,Johnson,ajohnson@ryzen.com,Bangalore,India,info1,2128
cust-00010,John,Brown,jbrown@radon.com,Delhi,India,info1,8023
cust-00011,James,Martinez,jmartinez@ideapad.com,Melbourne,Australia,data1,2046
cust-00012,James,Miller,jmiller@radon.com,London,England,data2,6620
cust-00013,Sophia,Brown,sbrown@ryzen.com,Sydney,Australia,info1,3250
cust-00014,Michael,Smith,msmith@radon.com,Delhi,India,data1,2351
cust-00015,Liam,Garcia,lgarcia@ryzen.com,Los Angeles,USA,data2,5878
cust-00016,Liam,Rodriguez,lrodriguez@ideapad.com,Mumbai,India,data2,1657
cust-00017,Liam,Brown,lbrown@ideapad.com,Chicago,USA,data2,7624
cust-00018,Ava,Miller,amiller@ideapad.com,Melbourne,Australia,data2,8711
cust-00019,Liam,Davis,ldavis@radon.com,Los Angeles,USA,data2,9422
cust-00020,Liam,Miller,lmiller@ideapad.com,Chicago,USA,data1,1959
cust-00021,John,Garcia,jgarcia@ryzen.com,Chicago,USA,data2,5183
cust-00022,Noah,Martinez,nmartinez@ryzen.com,Mumbai,India,info1,2940
cust-00023,Sophia,Smith,ssmith@radon.com,Birmingham,England,data2,3650
cust-00024,Sophia,Brown,sbrown@radon.com,Mumbai,India,info1,3995
cust-00025,Michael,Rodriguez,mrodriguez@ideapad.com,Bangalore,India,info1,4419
cust-00026,Noah,Martinez,nmartinez@ryzen.com,New York,USA,info1,8196
cust-00027,John,Martinez,jmartinez@radon.com,Chicago,USA,info1,5678
cust-00028,Emma,Rodriguez,erodriguez@ryzen.com,New York,USA,data2,9994
cust-00029,Isabella,Martinez,imartinez@ryzen.com,Chicago,USA,data1,3375
cust-00030,Ava,Williams,awilliams@ideapad.com,Mumbai,India,data2,1207
cust-00031,John,Smith,jsmith@ideapad.com,Sydney,Australia,data2,7715
cust-00032,Olivia,Miller,omiller@radon.com,Melbourne,Australia,data2,4035
cust-00033,Liam,Johnson,ljohnson@ryzen.com,Los Angeles,USA,data1,2056
cust-00034,Liam,Smith,lsmith@ideapad.com,London,England,data2,1689
cust-00035,Liam,Martinez,lmartinez@ideapad.com,Delhi,India,data2,1325
cust-00036,James,Garcia,jgarcia@ryzen.com,London,England,info1,6701
cust-00037,Ava,Brown,abrown@ideapad.com,Birmingham,England,data1,8341
